timeAt,seconds
2023-01-14T21:36:58.733Z,1.333
2023-01-14T21:37:00.038Z,1.316
2023-01-14T21:37:01.347Z,1.32
2023-01-14T21:37:02.663Z,1.327
2023-01-14T21:37:03.968Z,1.316
2023-01-14T21:37:05.286Z,1.328
2023-01-14T21:37:06.595Z,1.321
2023-01-14T21:37:07.917Z,1.334
2023-01-14T21:37:09.239Z,1.336
2023-01-14T21:37:10.547Z,1.32
2023-01-14T21:37:11.865Z,1.329
2023-01-14T21:37:13.189Z,1.341
2023-01-14T21:37:14.498Z,1.323
2023-01-14T21:37:15.819Z,1.332
2023-01-14T21:37:17.140Z,1.338
2023-01-14T21:37:18.457Z,1.332
2023-01-14T21:37:19.782Z,1.34
2023-01-14T21:37:21.100Z,1.333
2023-01-14T21:37:22.416Z,1.331
2023-01-14T21:37:23.730Z,1.327
2023-01-14T21:37:25.053Z,1.338
2023-01-14T21:37:26.369Z,1.333
2023-01-14T21:37:27.680Z,1.323
2023-01-14T21:37:29.002Z,1.335
2023-01-14T21:37:30.315Z,1.327
2023-01-14T21:37:31.627Z,1.325
2023-01-14T21:37:32.944Z,1.33
2023-01-14T21:37:34.259Z,1.332
2023-01-14T21:37:35.581Z,1.337
2023-01-14T21:37:36.899Z,1.333
2023-01-14T21:37:38.219Z,1.336
2023-01-14T21:37:39.538Z,1.334
2023-01-14T21:37:40.853Z,1.328
2023-01-14T21:37:42.173Z,1.335
2023-01-14T21:37:43.486Z,1.329
2023-01-14T21:37:44.812Z,1.343
2023-01-14T21:37:46.140Z,1.351
2023-01-14T21:37:47.451Z,1.325
2023-01-14T21:37:48.762Z,1.324
2023-01-14T21:37:50.212Z,1.465
2023-01-14T21:37:51.528Z,1.33
